DATE,DDSM01USA066NWDB
1996-01-01,9.92118
1997-01-01,13.4268
1998-01-01,18.3094
1999-01-01,20.8962
2000-01-01,20.4361
2001-01-01,22.0882
2002-01-01,22.4129
2003-01-01,24.684
2004-01-01,15.3404
2005-01-01,11.0249
2006-01-01,10.4451
2007-01-01,11.5251
2008-01-01,21.4293
2009-01-01,39.591
2010-01-01,26.337
2011-01-01,18.5968
2012-01-01,21.04
2013-01-01,13.8871
2014-01-01,11.29
2015-01-01,12.5652
2016-01-01,15.7229
2017-01-01,11.0212
